Java HotSpot(TM) 64-Bit Server VM (25.221-b11) for windows-amd64 JRE (1.8.0_221-b11), built on Jul  4 2019 04:39:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16644816k(3574404k free), swap 41039712k(11202652k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=266317056 -XX:+ManagementServer -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
8.001: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184433K->14961K(281600K), 0.0013363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.042: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184433K->14929K(281600K), 0.0011820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.082: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184401K->14961K(281600K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.123: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184433K->14961K(281600K), 0.0013772 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.165: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184433K->14961K(281600K), 0.0014200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.207: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184433K->14929K(281600K), 0.0016402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.250: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0014103 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.292: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0012984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.334: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0016933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.376: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0016808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.423: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0011982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.465: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0015182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.508: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0014871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.551: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0017433 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.595: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184401K->14961K(281600K), 0.0017973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.639: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184433K->14929K(281600K), 0.0014826 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.686: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184401K->14961K(281600K), 0.0015108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.727: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184433K->14961K(281600K), 0.0012373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.770: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184433K->14929K(281600K), 0.0015329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.811: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184401K->14929K(281600K), 0.0011962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.853: [GC (Allocation Failure) [PSYoungGen: 169472K->128K(169984K)] 184401K->15057K(281600K), 0.0013091 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.893: [GC (Allocation Failure) [PSYoungGen: 169600K->0K(169984K)] 184529K->14961K(281600K), 0.0015389 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.933: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0015734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.976: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0012184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.024: [GC (Allocation Failure) [PSYoungGen: 169504K->32K(169984K)] 184465K->14993K(281600K), 0.0015540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.068: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184465K->14961K(281600K), 0.0014864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.109: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0011479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.151: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0015524 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
9.194: [GC (Allocation Failure) [PSYoungGen: 169472K->0K(169984K)] 184433K->14961K(281600K), 0.0012851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.234: [GC (Allocation Failure) [PSYoungGen: 169472K->32K(169984K)] 184433K->14993K(281600K), 0.0011225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.274: [GC (Allocation Failure) [PSYoungGen: 169503K->32K(169984K)] 184465K->14993K(281600K), 0.0015595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.315: [GC (Allocation Failure) [PSYoungGen: 169504K->0K(169984K)] 184465K->14961K(281600K), 0.0017424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
